TimestampS,WaitTimeUs,CPU
80.412,15625,0
80.621,15625,0
80.662,15625,0
80.743,15625,0
80.776,15625,0
80.788,15625,0
80.809,15625,0
80.842,15625,0
80.851,15625,0
80.870,15625,0
80.891,15625,0
80.909,15625,0
80.992,15625,0
81.036,15625,0
81.058,15625,0
81.076,15625,0
81.135,15625,0
81.186,15625,0
81.226,15625,0
81.309,15625,0
81.336,15625,0
81.409,15625,0
81.443,15625,0
81.475,15625,0
81.538,15625,0
81.559,15625,0
81.593,15625,0
81.643,15625,0
81.819,15625,0
81.834,15625,0
81.896,15625,0
82.009,15625,0
82.026,15625,0
82.093,15625,0
82.209,15625,0
82.226,15625,0
82.416,15625,0
82.430,15625,0
82.443,15625,0
82.509,15625,0
82.556,15625,0
82.576,15625,0
82.625,15625,0
82.634,15625,0
82.646,15625,0
82.709,15625,0
82.759,15625,0
82.826,15625,0
82.834,15625,0
82.876,15625,0
83.059,15625,0
83.173,15625,0
83.226,15625,0
83.276,15625,0
83.320,15625,0
83.376,15625,0
83.384,15625,0
83.443,15625,0
83.543,15625,0
83.559,15625,0
83.609,15625,0
83.626,15625,0
83.709,15625,0
83.726,15625,0
83.803,15625,0
83.819,15625,0
83.837,15625,0
83.859,15625,0
83.907,15625,0
83.993,15625,0
84.184,15625,0
84.226,15625,0
84.259,15625,0
84.353,15625,0
84.416,15625,0
84.443,15625,0
84.458,15625,0
84.493,15625,0
84.521,15625,0
84.542,15625,0
84.576,15625,0
84.624,15625,0
84.688,15625,0
84.708,15625,0
84.726,15625,0
84.743,15625,0
84.772,15625,0
84.835,15625,0
84.898,15625,0
84.918,15625,0
85.043,15625,0
85.076,15625,0
85.084,15625,0
85.171,15625,0
85.190,15625,0
85.243,15625,0
85.352,15625,0
85.432,15625,0
85.445,15625,0
85.505,15625,0
85.743,15625,0
85.755,15625,0
85.776,15625,0
85.793,15625,0
85.822,15625,0
85.889,15625,0
85.943,15625,0
86.026,15625,0
86.404,15625,0
86.432,15625,0
86.509,15625,0
86.592,15625,0
86.606,15625,0
86.617,15625,0
86.640,15625,0
86.702,15625,0
86.709,15625,0
86.741,15625,0
86.759,15625,0
86.793,15625,0
86.825,15625,0
86.843,15625,0
86.866,15625,0
86.926,15625,0
87.009,15625,0
87.026,15625,0
87.053,15625,0
87.200,15625,0
87.209,15625,0
87.242,15625,0
87.293,15625,0
87.339,15625,0
87.349,15625,0
87.365,15625,0
87.386,15625,0
87.407,15625,0
87.443,15625,0
87.474,15625,0
87.593,15625,0
87.616,15625,0
87.636,15625,0
87.709,15625,0
87.806,15625,0
87.843,15625,0
87.867,15625,0
87.950,15625,0
87.992,15625,0
88.150,15625,0
88.226,15625,0
88.342,15625,0
88.509,15625,0
88.526,15625,0
88.543,15625,0
88.557,15625,0
88.593,15625,0
88.776,15625,0
88.819,15625,0
88.883,15625,0
88.912,15625,0
88.933,15625,0
88.943,15625,0
89.037,15625,0
89.101,15625,0
89.183,15625,0
89.224,15625,0
89.259,15625,0
89.343,15625,0
89.526,15625,0
89.742,15625,0
89.757,15625,0
89.836,15625,0
89.867,15625,0
89.897,15625,0
89.993,15625,0
90.109,15625,0
90.155,15625,0
90.226,15625,0
90.240,15625,0
90.304,15625,0
90.342,15625,0
90.399,15625,0
90.509,15625,0
90.526,15625,0
90.621,15625,0
90.685,15625,0
90.743,15625,0
90.850,15625,0
90.870,15625,0
90.903,15625,0
91.093,15625,0
91.103,15625,0
91.123,15625,0
91.148,15625,0
91.209,15625,0
91.354,15625,0
91.380,15625,0
91.407,15625,0
91.429,15625,0
91.476,15625,0
91.521,15625,0
91.625,15625,0
91.632,15625,0
91.726,15625,0
91.885,15625,0
92.086,15625,0
92.126,15625,0
92.150,15625,0
92.291,15625,0
92.505,15625,0
92.609,15625,0
92.743,15625,0
92.771,15625,0
92.817,15625,0
92.837,15625,0
92.882,15625,0
92.959,15625,0
92.976,15625,0
93.009,15625,0
93.026,15625,0
93.052,15625,0
93.092,15625,0
93.159,15625,0
93.243,15625,0
93.276,15625,0
93.306,15625,0
93.395,15625,0
93.415,15625,0
93.522,15625,0
93.559,15625,0
93.759,15625,0
93.835,15625,0
94.040,15625,0
94.059,15625,0
94.076,15625,0
94.084,15625,0
94.106,15625,0
94.131,15625,0
94.147,15625,0
94.195,15625,0
94.209,15625,0
94.273,15625,0
94.393,15625,0
94.399,15625,0
94.435,15625,0
94.459,15625,0
94.507,15625,0
94.592,15625,0
94.678,15625,0
